Manufacturer,Model,Type,Subtype,Max RPM,Power (kW),Torque (Nm),Taper,X Travel (mm),Y Travel (mm),Z Travel (mm),ATC Capacity,Controller
AWEA,LP-3021,double_column_machining_center,bridge_type,6000,22,850,BT50,,,,40,FANUC 31i-B5
Brother,SPEEDIO S300X1,DRILL_TAP,3-axis-high-speed,16000,5.5,22,BT30,,,,14,unknown unknown
Brother,SPEEDIO S500X1,DRILL_TAP,3-axis-high-speed,16000,5.5,22,BT30,,,,21,unknown unknown
Brother,SPEEDIO S500Z1,DRILL_TAP,3-axis-high-speed,27000,7.5,16,BT30,,,,21,unknown unknown
Brother,SPEEDIO S700X1,DRILL_TAP,3-axis-high-speed,16000,7.5,35,BT30,,,,21,unknown unknown
Brother,SPEEDIO S1000X1,DRILL_TAP,3-axis-high-speed,16000,11,50,BT40,,,,30,unknown unknown
Brother,SPEEDIO M140X1,VMC,3-axis-compact,10000,11,80,BT40,,,,22,unknown unknown
Brother,SPEEDIO M200X3,VMC,3-axis-compact,10000,15,119,BT40,,,,30,unknown unknown
Brother,SPEEDIO R450X1,5AXIS,trunnion-compact,16000,5.5,22,BT30,,,,21,unknown unknown
Brother,SPEEDIO R650X1,5AXIS,trunnion-compact,16000,7.5,35,BT30,,,,21,unknown unknown
Brother,SPEEDIO W1000Xd1,VMC,3-axis-rigid,10000,15,119,BT40,,,,30,unknown unknown
Chiron,FZ 08 S,VMC,3-axis-high-speed,20000,15,52,HSK-A50,,,,24,unknown unknown
Chiron,FZ 12 S,VMC,3-axis-high-speed,20000,20,85,HSK-A63,,,,36,unknown unknown
Chiron,MILL 800,5AXIS,trunnion-high-speed,20000,20,85,HSK-A63,,,,40,unknown unknown
DMG MORI,DMU 50 3rd Generation,vertical_machining_center,5_axis_trunnion,15000,25,130,HSK-A63,,,,30,SIEMENS SINUMERIK 840D sl
DMG MORI,DMU 65 monoBLOCK,vertical_machining_center,5_axis_trunnion,18000,25,87,HSK-A63,,,,30,SIEMENS SINUMERIK 840D sl
DMG MORI,DMC 80 H linear,horizontal_machining_center,4_axis_hmc_linear,12000,20,303,HSK-A63,,,,60,SIEMENS SINUMERIK 840D sl
DMG MORI,NLX 2500/700,lathe,universal_lathe,3500,18.5,764,A2-11,,,,,FANUC 31i-B
DMG MORI,NTX 2000,turn_mill,5_axis_mill_turn,,22,,unknown,,,,38,FANUC 31i-B5
DMG MORI,CTV 250,lathe,vtl_inverted_spindle,5000,18.5,95,unknown,,,,,FANUC 31i-B
DMG MORI,DMC 850 V,vertical_machining_center,3_axis_vmc,10000,20,83,SK40,,,,20,SIEMENS SINUMERIK 840D sl
DN Solutions,DNM 4500,VMC,3-axis,12000,20,118,BBT40,,,,30,unknown unknown
DN Solutions,DNM 5700,VMC,3-axis,12000,20,118,BBT40,,,,30,unknown unknown
DN Solutions,DNM 6700,VMC,3-axis,10000,25,178,BBT50,,,,40,unknown unknown
DN Solutions,DVF 5000,5AXIS,trunnion,12000,25,118,BBT40,,,,60,unknown unknown
DN Solutions,DVF 6500,5AXIS,trunnion,12000,30,150,BBT40,,,,60,unknown unknown
DN Solutions,NHP 5000,HMC,4-axis,12000,30,200,BBT50,,,,60,unknown unknown
DN Solutions,NHP 6300,HMC,4-axis,10000,40,300,BBT50,,,,90,unknown unknown
DN Solutions,PUMA 2600,lathe,2-axis,4500,25,450,unknown,,,,,unknown unknown
DN Solutions,PUMA 3100,lathe,2-axis,3500,30,700,unknown,,,,,unknown unknown
DN Solutions,PUMA 2600SY,lathe,4-axis-sub-y,,22,,unknown,,,,,unknown unknown
DN Solutions,LYNX 2100,lathe,2-axis,6000,15,180,unknown,,,,,unknown unknown
DN Solutions,LYNX 2600,lathe,2-axis,4500,20,340,unknown,,,,,unknown unknown
DN Solutions,SMX 2600S,turn_mill,5-axis-mill-turn,,22,,unknown,,,,40,unknown unknown
DN Solutions,SMX 3100S,turn_mill,5-axis-mill-turn,,22,,unknown,,,,60,unknown unknown
Fanuc,?-D14MiA5,DRILL_TAP,3-axis-high-speed,24000,7.5,25,BT30,,,,21,unknown unknown
Fanuc,?-D21MiA5,DRILL_TAP,3-axis-high-speed,24000,7.5,25,BT30,,,,21,unknown unknown
Fanuc,?-D21LiA5,DRILL_TAP,3-axis-high-speed-long,24000,7.5,25,BT30,,,,21,unknown unknown
Fanuc,?-D14MiB5 ADV,DRILL_TAP,3-axis-high-speed-plus,24000,11,38,BT30,,,,21,unknown unknown
Fanuc,?-D21MiB5 ADV,DRILL_TAP,3-axis-high-speed-plus,24000,11,38,BT30,,,,21,unknown unknown
Fanuc,?-D21MiA5 with DDR,5AXIS,trunnion-ddr,24000,7.5,25,BT30,,,,21,unknown unknown
