month_year,cpi_u,source
2020-01,258.4,BLS-CPI-U-NSA
2020-06,257.8,BLS-CPI-U-NSA
2020-12,260.5,BLS-CPI-U-NSA
2021-01,261.6,BLS-CPI-U-NSA
2021-06,271.7,BLS-CPI-U-NSA
2021-12,278.8,BLS-CPI-U-NSA
2022-01,281.1,BLS-CPI-U-NSA
2022-06,296.3,BLS-CPI-U-NSA
2022-12,296.8,BLS-CPI-U-NSA
2023-01,299.2,BLS-CPI-U-NSA
2023-06,305.1,BLS-CPI-U-NSA
2023-12,306.7,BLS-CPI-U-NSA
2024-01,308.4,BLS-CPI-U-NSA
2024-06,314.2,BLS-CPI-U-NSA
2024-12,317.1,BLS-CPI-U-NSA
2025-01,319.0,BLS-CPI-U-NSA
2025-06,322.5,BLS-CPI-U-NSA
2025-12,325.2,BLS-CPI-U-NSA
2026-01,326.8,BLS-CPI-U-NSA
2026-05,328.4,BLS-CPI-U-NSA
