month_year,material,price_per_lb_usd,source
2020-01,steel_a36,0.42,LME-monthly-avg
2020-04,steel_a36,0.38,LME-monthly-avg
2020-07,steel_a36,0.41,LME-monthly-avg
2020-10,steel_a36,0.49,LME-monthly-avg
2021-01,steel_a36,0.68,LME-monthly-avg
2021-04,steel_a36,0.82,LME-monthly-avg
2021-07,steel_a36,0.94,LME-monthly-avg
2021-10,steel_a36,0.91,LME-monthly-avg
2022-01,steel_a36,0.83,LME-monthly-avg
2022-04,steel_a36,0.79,LME-monthly-avg
2022-07,steel_a36,0.68,LME-monthly-avg
2022-10,steel_a36,0.58,LME-monthly-avg
2023-01,steel_a36,0.61,LME-monthly-avg
2023-04,steel_a36,0.64,LME-monthly-avg
2023-07,steel_a36,0.57,LME-monthly-avg
2023-10,steel_a36,0.52,LME-monthly-avg
2024-01,steel_a36,0.54,LME-monthly-avg
2024-04,steel_a36,0.57,LME-monthly-avg
2024-07,steel_a36,0.55,LME-monthly-avg
2024-10,steel_a36,0.51,LME-monthly-avg
2025-01,steel_a36,0.53,LME-monthly-avg
2025-04,steel_a36,0.56,LME-monthly-avg
2025-07,steel_a36,0.58,LME-monthly-avg
2026-01,steel_a36,0.60,LME-monthly-avg
2026-04,steel_a36,0.62,LME-monthly-avg
2020-01,aluminum_6061,0.78,LME-monthly-avg
2020-07,aluminum_6061,0.75,LME-monthly-avg
2021-01,aluminum_6061,0.92,LME-monthly-avg
2021-07,aluminum_6061,1.18,LME-monthly-avg
2022-01,aluminum_6061,1.36,LME-monthly-avg
2022-07,aluminum_6061,1.22,LME-monthly-avg
2023-01,aluminum_6061,1.14,LME-monthly-avg
2023-07,aluminum_6061,1.08,LME-monthly-avg
2024-01,aluminum_6061,1.10,LME-monthly-avg
2024-07,aluminum_6061,1.15,LME-monthly-avg
2025-01,aluminum_6061,1.18,LME-monthly-avg
2025-07,aluminum_6061,1.22,LME-monthly-avg
2026-01,aluminum_6061,1.25,LME-monthly-avg
2020-01,copper_c110,2.84,LME-monthly-avg
2020-07,copper_c110,2.95,LME-monthly-avg
2021-01,copper_c110,3.62,LME-monthly-avg
2021-07,copper_c110,4.41,LME-monthly-avg
2022-01,copper_c110,4.48,LME-monthly-avg
2022-07,copper_c110,3.51,LME-monthly-avg
2023-01,copper_c110,4.10,LME-monthly-avg
2023-07,copper_c110,3.85,LME-monthly-avg
2024-01,copper_c110,3.92,LME-monthly-avg
2024-07,copper_c110,4.18,LME-monthly-avg
2025-01,copper_c110,4.35,LME-monthly-avg
2025-07,copper_c110,4.52,LME-monthly-avg
2026-01,copper_c110,4.68,LME-monthly-avg
2020-01,stainless_304,1.85,LME-monthly-avg
2020-07,stainless_304,1.78,LME-monthly-avg
2021-01,stainless_304,2.14,LME-monthly-avg
2021-07,stainless_304,2.92,LME-monthly-avg
2022-01,stainless_304,2.74,LME-monthly-avg
2022-07,stainless_304,2.45,LME-monthly-avg
2023-01,stainless_304,2.28,LME-monthly-avg
2023-07,stainless_304,2.15,LME-monthly-avg
2024-01,stainless_304,2.22,LME-monthly-avg
2024-07,stainless_304,2.31,LME-monthly-avg
2025-01,stainless_304,2.38,LME-monthly-avg
2025-07,stainless_304,2.45,LME-monthly-avg
2026-01,stainless_304,2.52,LME-monthly-avg
