tool_id,brand,tool_type,material,source_file
AMPC-150A-.515,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-.546,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-.578,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-.609,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-.640,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-.671,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-0017,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-0018,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-0019,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-0020,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-0021,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-0022,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-13,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-13.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-14,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-14.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-15,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-15.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-16,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-16.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-17,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-17.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150A-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150H-0018,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150H-0020,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150H-0022,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150H-14,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150H-16,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150H-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-.515,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-.546,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-.578,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-.609,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-.640,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-.671,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-0017,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-0018,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-0019,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-0020,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-0021,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-0022,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-13,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-13.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-14,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-14.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-15,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-15.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-16,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-16.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-17,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-17.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150N-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-.515,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-.546,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-.578,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-.609,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-.640,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-.671,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-0017,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-0018,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-0019,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-0020,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-0021,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-0022,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-13,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-13.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-14,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-14.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-15,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-15.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-16,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-16.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-17,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-17.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-150T-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.703,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.734,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.765,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.796,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.801,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.859,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151A-.890,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
