holder_id,vendor,holder_type,taper,gauge_length_in,body_diameter_in,max_rpm,runout_um
generic:ER16:BT40:0,generic,ER16,BT40,2.7559,1.6535,25000,5
generic:ER25:BT40:1,generic,ER25,BT40,3.1496,1.9685,20000,5
generic:ER32:BT40:2,generic,ER32,BT40,3.5433,2.1654,18000,5
generic:ER40:BT40:3,generic,ER40,BT40,3.937,2.4803,15000,8
generic:ER16:CAT40:4,generic,ER16,CAT40,2.9528,1.6535,25000,5
generic:ER32:CAT40:5,generic,ER32,CAT40,3.7402,2.1654,18000,5
generic:ER16:HSK-A63:6,generic,ER16,HSK-A63,2.3622,1.6535,30000,3
generic:ER32:HSK-A63:7,generic,ER32,HSK-A63,3.1496,2.1654,22000,3
generic:Shrink_6:BT40:8,generic,Shrink_6,BT40,2.9528,1.1024,40000,3
generic:Shrink_10:BT40:9,generic,Shrink_10,BT40,3.1496,1.2598,35000,3
generic:Shrink_12:BT40:10,generic,Shrink_12,BT40,3.3465,1.378,30000,3
generic:Shrink_16:BT40:11,generic,Shrink_16,BT40,3.5433,1.5748,28000,3
generic:Shrink_20:BT40:12,generic,Shrink_20,BT40,3.937,1.7717,25000,3
generic:Hydraulic_12:BT40:13,generic,Hydraulic_12,BT40,3.3465,1.5748,30000,3
generic:Hydraulic_16:BT40:14,generic,Hydraulic_16,BT40,3.7402,1.8898,25000,3
generic:Hydraulic_20:BT40:15,generic,Hydraulic_20,BT40,3.937,2.1654,22000,3
generic:Weldon_6:BT40:16,generic,Weldon_6,BT40,3.1496,1.378,20000,10
generic:Weldon_10:BT40:17,generic,Weldon_10,BT40,3.3465,1.5748,18000,10
generic:Weldon_12:BT40:18,generic,Weldon_12,BT40,3.5433,1.6535,16000,10
generic:Weldon_16:BT40:19,generic,Weldon_16,BT40,3.7402,1.9685,14000,10
generic:Weldon_20:BT40:20,generic,Weldon_20,BT40,3.937,2.1654,12000,10
generic:Weldon_25:BT40:21,generic,Weldon_25,BT40,4.3307,2.4803,10000,12
generic:Shell_22:BT40:22,generic,Shell_22,BT40,1.9685,1.4961,15000,8
generic:Shell_27:BT40:23,generic,Shell_27,BT40,2.1654,1.7717,12000,8
generic:Shell_32:BT40:24,generic,Shell_32,BT40,2.3622,1.9685,10000,10
generic:ER32:CAT50:25,generic,ER32,CAT50,3.937,2.3622,14000,5
generic:Shell_32:CAT50:26,generic,Shell_32,CAT50,2.5591,2.1654,8000,10
HSKE32ER16X60,tungaloy,ER,HSK-E32,1.5748,1.1024,,
HSKE32ER20X60,tungaloy,ER,HSK-E32,1.5748,1.3386,,
HSKE32ER25X65,tungaloy,ER,HSK-E32,1.7717,1.6535,,
HSKE40ER16X60,tungaloy,ER,HSK-E40,1.5748,1.1024,,
HSKE40ER16X80,tungaloy,ER,HSK-E40,2.3622,1.1024,,
HSKE40ER20X80,tungaloy,ER,HSK-E40,2.3622,1.3386,,
HSKE40ER25X80,tungaloy,ER,HSK-E40,2.3622,1.6535,,
HSKE40ER32X80,tungaloy,ER,HSK-E40,2.3622,1.9685,,
HSKE50ER16X100,tungaloy,ER,HSK-E50,2.9134,1.1024,,
HSKE50ER16X100M,tungaloy,ER,HSK-E50,2.9134,0.8661,,
HSKE50ER16X80,tungaloy,ER,HSK-E50,2.126,1.1024,,
HSKE50ER20X80,tungaloy,ER,HSK-E50,2.126,1.3386,,
HSKE50ER25X80,tungaloy,ER,HSK-E50,2.126,1.6535,,
HSKE50ER32X80,tungaloy,ER,HSK-E50,2.126,1.9685,,
HSKE50ER32X100,tungaloy,ER,HSK-E50,2.9134,1.9685,,
HSKE63ER16X80,tungaloy,ER,HSK-E63,2.126,1.1024,,
HSKE63ER16X100,tungaloy,ER,HSK-E63,2.9134,1.1024,,
