tool_id,brand,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,fz_in,feed_ipm,ap_in,ae_in,coolant,css,hb_min,hb_max,flute_source,source_file
ADD-Accupro-ACCU-0.0050,Accupro,drill,Hardened Tool Steel (H),H,Drill,drilling,roughing,conventional,0.005,2,36,27570,0.0002,8.68,0,0.0051,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Hardened Tool Steel (H),H,Peck,drilling,roughing,plunge,0.005,2,25,19299,0.0001,3.04,0,0.0051,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Hardened Tool Steel (H),H,Drill,drilling,roughing,conventional,0.005,2,36,27570,0.0002,8.68,0,0.0051,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Hardened Tool Steel (H),H,Peck,drilling,roughing,plunge,0.005,2,25,19299,0.0001,3.04,0,0.0051,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,Hardened Tool Steel (H),H,Drill,drilling,roughing,conventional,0.005,2,36,27570,0.0002,8.68,0,0.0051,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,Hardened Tool Steel (H),H,Peck,drilling,roughing,plunge,0.005,2,25,19299,0.0001,3.04,0,0.0051,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,Hardened Tool Steel (H),H,Drill,drilling,roughing,conventional,0.006,2,36,23036,0.0002,7.26,0,0.0059,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,Hardened Tool Steel (H),H,Peck,drilling,roughing,plunge,0.006,2,25,16125,0.0001,2.54,0,0.0059,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,Hardened Tool Steel (H),H,Drill,drilling,roughing,conventional,0.006,2,36,23036,0.0002,7.26,0,0.0059,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,Hardened Tool Steel (H),H,Peck,drilling,roughing,plunge,0.006,2,25,16125,0.0001,2.54,0,0.0059,mql,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,Hardened Tool Steel (H),H,Rough,milling,roughing,conventional,0.007,4,249,135908,0.0005,256.83,0.007,0.0016,air,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,Hardened Tool Steel (H),H,HEM Adaptive,milling,roughing,adaptive,0.007,4,349,190271,0.0006,431.48,0.014,0.0007,air,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,Hardened Tool Steel (H),H,Trochoidal,milling,roughing,trochoidal,0.007,4,374,203861,0.0006,500.82,0.0175,0.0006,air,0,400,650,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,Hardened Tool Steel (H),H,Slot,milling,roughing,slot,0.007,4,199,108726,0.0004,184.92,0.0035,0.007,air,0,400,650,record,Accupro_catalog
