tool_id,brand,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,fz_in,feed_ipm,ap_in,ae_in,coolant,css,hb_min,hb_max,flute_source,source_file
ADD-Accupro-ACCU-0.0050,Accupro,drill,304/316 SS (M),M,Drill,drilling,roughing,conventional,0.005,2,220,167927,0.0006,198.34,0,0.0051,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,304/316 SS (M),M,Peck,drilling,roughing,plunge,0.005,2,154,117549,0.0003,69.42,0,0.0051,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,17-4 PH (M),M,Drill,drilling,roughing,conventional,0.005,2,165,125945,0.0006,148.75,0,0.0051,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,17-4 PH (M),M,Peck,drilling,roughing,plunge,0.005,2,115,88162,0.0003,52.06,0,0.0051,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,2205 Duplex (M),M,Drill,drilling,roughing,conventional,0.005,2,137,104955,0.0006,123.96,0,0.0051,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,2205 Duplex (M),M,Peck,drilling,roughing,plunge,0.005,2,96,73468,0.0003,43.39,0,0.0051,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,304/316 SS (M),M,Drill,drilling,roughing,conventional,0.005,2,220,167927,0.0006,198.34,0,0.0051,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,304/316 SS (M),M,Peck,drilling,roughing,plunge,0.005,2,154,117549,0.0003,69.42,0,0.0051,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,17-4 PH (M),M,Drill,drilling,roughing,conventional,0.005,2,165,125945,0.0006,148.75,0,0.0051,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,17-4 PH (M),M,Peck,drilling,roughing,plunge,0.005,2,115,88162,0.0003,52.06,0,0.0051,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,2205 Duplex (M),M,Drill,drilling,roughing,conventional,0.005,2,137,104955,0.0006,123.96,0,0.0051,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,2205 Duplex (M),M,Peck,drilling,roughing,plunge,0.005,2,96,73468,0.0003,43.39,0,0.0051,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,304/316 SS (M),M,Drill,drilling,roughing,conventional,0.005,2,220,167927,0.0006,198.34,0,0.0051,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,304/316 SS (M),M,Peck,drilling,roughing,plunge,0.005,2,154,117549,0.0003,69.42,0,0.0051,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,17-4 PH (M),M,Drill,drilling,roughing,conventional,0.005,2,165,125945,0.0006,148.75,0,0.0051,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,17-4 PH (M),M,Peck,drilling,roughing,plunge,0.005,2,115,88162,0.0003,52.06,0,0.0051,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,2205 Duplex (M),M,Drill,drilling,roughing,conventional,0.005,2,137,104955,0.0006,123.96,0,0.0051,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,2205 Duplex (M),M,Peck,drilling,roughing,plunge,0.005,2,96,73468,0.0003,43.39,0,0.0051,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,304/316 SS (M),M,Drill,drilling,roughing,conventional,0.006,2,220,140308,0.0006,165.72,0,0.0059,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,304/316 SS (M),M,Peck,drilling,roughing,plunge,0.006,2,154,98215,0.0003,58,0,0.0059,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,17-4 PH (M),M,Drill,drilling,roughing,conventional,0.006,2,165,105231,0.0006,124.29,0,0.0059,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,17-4 PH (M),M,Peck,drilling,roughing,plunge,0.006,2,115,73662,0.0003,43.5,0,0.0059,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,2205 Duplex (M),M,Drill,drilling,roughing,conventional,0.006,2,137,87692,0.0006,103.57,0,0.0059,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,2205 Duplex (M),M,Peck,drilling,roughing,plunge,0.006,2,96,61385,0.0003,36.25,0,0.0059,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,304/316 SS (M),M,Drill,drilling,roughing,conventional,0.006,2,220,140308,0.0006,165.72,0,0.0059,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,304/316 SS (M),M,Peck,drilling,roughing,plunge,0.006,2,154,98215,0.0003,58,0,0.0059,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,17-4 PH (M),M,Drill,drilling,roughing,conventional,0.006,2,165,105231,0.0006,124.29,0,0.0059,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,17-4 PH (M),M,Peck,drilling,roughing,plunge,0.006,2,115,73662,0.0003,43.5,0,0.0059,flood,0,280,440,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,2205 Duplex (M),M,Drill,drilling,roughing,conventional,0.006,2,137,87692,0.0006,103.57,0,0.0059,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,2205 Duplex (M),M,Peck,drilling,roughing,plunge,0.006,2,96,61385,0.0003,36.25,0,0.0059,flood,0,250,320,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,304/316 SS (M),M,Rough,milling,roughing,conventional,0.007,4,328,178826,0.0008,563.23,0.007,0.0024,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,304/316 SS (M),M,HEM Adaptive,milling,roughing,adaptive,0.007,4,459,250356,0.0009,946.23,0.014,0.0007,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,304/316 SS (M),M,Trochoidal,milling,roughing,trochoidal,0.007,4,492,268239,0.001,1098.3,0.0175,0.0006,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,304/316 SS (M),M,Slot,milling,roughing,slot,0.007,4,262,143061,0.0007,405.53,0.0035,0.007,flood,0,150,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,304/316 SS (M),M,Ramp,milling,roughing,plunge,0.007,4,230,125178,0.0004,197.13,0.007,0.0024,flood,0,150,350,record,Accupro_catalog
