tool_id,brand,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,fz_in,feed_ipm,ap_in,ae_in,coolant,css,hb_min,hb_max,flute_source,source_file
ADD-Accupro-ACCU-0.0050,Accupro,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.005,2,607,463680,0.0008,730.2,0,0.0051,flood,0,30,150,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.005,2,425,324576,0.0004,255.57,0,0.0051,flood,0,30,150,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.005,2,759,579600,0.0008,912.76,0,0.0051,flood,0,50,120,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.005,2,531,405720,0.0004,319.46,0,0.0051,flood,0,50,120,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.005,2,303,231840,0.0008,365.1,0,0.0051,flood,0,40,100,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.005,2,212,162288,0.0004,127.79,0,0.0051,flood,0,40,100,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.005,2,607,463680,0.0008,730.2,0,0.0051,flood,0,30,150,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.005,2,425,324576,0.0004,255.57,0,0.0051,flood,0,30,150,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.005,2,759,579600,0.0008,912.76,0,0.0051,flood,0,50,120,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.005,2,531,405720,0.0004,319.46,0,0.0051,flood,0,50,120,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.005,2,303,231840,0.0008,365.1,0,0.0051,flood,0,40,100,record,Accupro_catalog
