tool_id,brand,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,fz_in,feed_ipm,ap_in,ae_in,coolant,css,hb_min,hb_max,flute_source,source_file
ADD-Accupro-ACCU-0.0050,Accupro,drill,1018 Steel (P),P,Drill,drilling,roughing,conventional,0.005,2,344,263170,0.0007,373,0,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,1018 Steel (P),P,Peck,drilling,roughing,plunge,0.005,2,241,184219,0.0004,130.55,0,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,1045 Steel (P),P,Drill,drilling,roughing,conventional,0.005,2,291,222682,0.0007,315.61,0,0.0051,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,1045 Steel (P),P,Peck,drilling,roughing,plunge,0.005,2,204,155877,0.0004,110.46,0,0.0051,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,4140/4340 Alloy (P),P,Drill,drilling,roughing,conventional,0.005,2,265,202438,0.0007,286.92,0,0.0051,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,4140/4340 Alloy (P),P,Peck,drilling,roughing,plunge,0.005,2,185,141707,0.0004,100.42,0,0.0051,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,1018 Steel (P),P,Drill,drilling,roughing,conventional,0.005,2,344,263170,0.0007,373,0,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,1018 Steel (P),P,Peck,drilling,roughing,plunge,0.005,2,241,184219,0.0004,130.55,0,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,1045 Steel (P),P,Drill,drilling,roughing,conventional,0.005,2,291,222682,0.0007,315.61,0,0.0051,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,1045 Steel (P),P,Peck,drilling,roughing,plunge,0.005,2,204,155877,0.0004,110.46,0,0.0051,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,4140/4340 Alloy (P),P,Drill,drilling,roughing,conventional,0.005,2,265,202438,0.0007,286.92,0,0.0051,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,4140/4340 Alloy (P),P,Peck,drilling,roughing,plunge,0.005,2,185,141707,0.0004,100.42,0,0.0051,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,1018 Steel (P),P,Drill,drilling,roughing,conventional,0.005,2,344,263170,0.0007,373,0,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,1018 Steel (P),P,Peck,drilling,roughing,plunge,0.005,2,241,184219,0.0004,130.55,0,0.0051,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,1045 Steel (P),P,Drill,drilling,roughing,conventional,0.005,2,291,222682,0.0007,315.61,0,0.0051,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,1045 Steel (P),P,Peck,drilling,roughing,plunge,0.005,2,204,155877,0.0004,110.46,0,0.0051,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,4140/4340 Alloy (P),P,Drill,drilling,roughing,conventional,0.005,2,265,202438,0.0007,286.92,0,0.0051,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,4140/4340 Alloy (P),P,Peck,drilling,roughing,plunge,0.005,2,185,141707,0.0004,100.42,0,0.0051,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,1018 Steel (P),P,Drill,drilling,roughing,conventional,0.006,2,344,219885,0.0007,311.65,0,0.0059,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,1018 Steel (P),P,Peck,drilling,roughing,plunge,0.006,2,241,153920,0.0004,109.08,0,0.0059,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,1045 Steel (P),P,Drill,drilling,roughing,conventional,0.006,2,291,186057,0.0007,263.7,0,0.0059,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,1045 Steel (P),P,Peck,drilling,roughing,plunge,0.006,2,204,130240,0.0004,92.3,0,0.0059,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,4140/4340 Alloy (P),P,Drill,drilling,roughing,conventional,0.006,2,265,169142,0.0007,239.73,0,0.0059,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,4140/4340 Alloy (P),P,Peck,drilling,roughing,plunge,0.006,2,185,118400,0.0004,83.91,0,0.0059,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,1018 Steel (P),P,Drill,drilling,roughing,conventional,0.006,2,344,219885,0.0007,311.65,0,0.0059,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,1018 Steel (P),P,Peck,drilling,roughing,plunge,0.006,2,241,153920,0.0004,109.08,0,0.0059,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,1045 Steel (P),P,Drill,drilling,roughing,conventional,0.006,2,291,186057,0.0007,263.7,0,0.0059,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,1045 Steel (P),P,Peck,drilling,roughing,plunge,0.006,2,204,130240,0.0004,92.3,0,0.0059,flood,0,170,260,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,4140/4340 Alloy (P),P,Drill,drilling,roughing,conventional,0.006,2,265,169142,0.0007,239.73,0,0.0059,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,4140/4340 Alloy (P),P,Peck,drilling,roughing,plunge,0.006,2,185,118400,0.0004,83.91,0,0.0059,flood,0,180,350,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Rough,milling,roughing,conventional,0.007,4,459,250356,0.001,1025.08,0.007,0.0028,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,HEM Adaptive,milling,roughing,adaptive,0.007,4,643,350499,0.0012,1722.14,0.014,0.0007,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Trochoidal,milling,roughing,trochoidal,0.007,4,689,375534,0.0013,1998.91,0.0175,0.0006,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Slot,milling,roughing,slot,0.007,4,367,200285,0.0009,738.06,0.0035,0.007,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Ramp,milling,roughing,plunge,0.007,4,322,175249,0.0005,358.78,0.007,0.0028,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Semi,milling,semi_finishing,conventional,0.007,4,509,277180,0.0008,873.01,0.007,0.0035,flood,0,120,300,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,1018 Steel (P),P,Finish,milling,finishing,conventional,0.007,4,558,304004,0.0006,765.99,0.007,0.0051,flood,0,120,300,record,Accupro_catalog
