tool_id,brand,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,fz_in,feed_ipm,ap_in,ae_in,coolant,css,hb_min,hb_max,flute_source,source_file
ADD-Accupro-ACCU-0.0050,Accupro,drill,Ti-6Al-4V (S),S,Drill,drilling,roughing,conventional,0.005,2,98,75191,0.0004,59.21,0,0.0051,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Ti-6Al-4V (S),S,Peck,drilling,roughing,plunge,0.005,2,69,52634,0.0002,20.72,0,0.0051,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Inconel/Nickel (S),S,Drill,drilling,roughing,conventional,0.005,2,49,37596,0.0004,29.6,0,0.0051,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050,Accupro,drill,Inconel/Nickel (S),S,Peck,drilling,roughing,plunge,0.005,2,34,26317,0.0002,10.36,0,0.0051,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Ti-6Al-4V (S),S,Drill,drilling,roughing,conventional,0.005,2,98,75191,0.0004,59.21,0,0.0051,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Ti-6Al-4V (S),S,Peck,drilling,roughing,plunge,0.005,2,69,52634,0.0002,20.72,0,0.0051,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Inconel/Nickel (S),S,Drill,drilling,roughing,conventional,0.005,2,49,37596,0.0004,29.6,0,0.0051,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill,Accupro,drill,Inconel/Nickel (S),S,Peck,drilling,roughing,plunge,0.005,2,34,26317,0.0002,10.36,0,0.0051,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,Ti-6Al-4V (S),S,Drill,drilling,roughing,conventional,0.005,2,98,75191,0.0004,59.21,0,0.0051,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,Ti-6Al-4V (S),S,Peck,drilling,roughing,plunge,0.005,2,69,52634,0.0002,20.72,0,0.0051,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,Inconel/Nickel (S),S,Drill,drilling,roughing,conventional,0.005,2,49,37596,0.0004,29.6,0,0.0051,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0050-drill-109,Accupro,drill,Inconel/Nickel (S),S,Peck,drilling,roughing,plunge,0.005,2,34,26317,0.0002,10.36,0,0.0051,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,Ti-6Al-4V (S),S,Drill,drilling,roughing,conventional,0.006,2,98,62824,0.0004,49.47,0,0.0059,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,Ti-6Al-4V (S),S,Peck,drilling,roughing,plunge,0.006,2,69,43977,0.0002,17.31,0,0.0059,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,Inconel/Nickel (S),S,Drill,drilling,roughing,conventional,0.006,2,49,31412,0.0004,24.73,0,0.0059,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060,Accupro,drill,Inconel/Nickel (S),S,Peck,drilling,roughing,plunge,0.006,2,34,21989,0.0002,8.66,0,0.0059,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,Ti-6Al-4V (S),S,Drill,drilling,roughing,conventional,0.006,2,98,62824,0.0004,49.47,0,0.0059,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,Ti-6Al-4V (S),S,Peck,drilling,roughing,plunge,0.006,2,69,43977,0.0002,17.31,0,0.0059,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,Inconel/Nickel (S),S,Drill,drilling,roughing,conventional,0.006,2,49,31412,0.0004,24.73,0,0.0059,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0060-drill,Accupro,drill,Inconel/Nickel (S),S,Peck,drilling,roughing,plunge,0.006,2,34,21989,0.0002,8.66,0,0.0059,flood,0,250,450,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,Ti-6Al-4V (S),S,Rough,milling,roughing,conventional,0.007,4,151,82260,0.0008,259.09,0.007,0.0016,flood,0,200,400,record,Accupro_catalog
ADD-Accupro-ACCU-0.0070,Accupro,end_mill,Ti-6Al-4V (S),S,HEM Adaptive,milling,roughing,adaptive,0.007,4,211,115164,0.0009,435.27,0.014,0.0007,flood,0,200,400,record,Accupro_catalog
