toolMaterial,modulus_GPa,stickout_L_mm,diameter_d_mm,force_F_N,I_mm4,stiffness_N_per_mm,deflection_mm,unstable_at_h0p1
carbide,580,10,3,50,3.98,6918.4,0.0072,false
carbide,580,10,3,100,3.98,6918.4,0.0145,true
carbide,580,10,3,200,3.98,6918.4,0.0289,true
carbide,580,10,3,500,3.98,6918.4,0.0723,true
carbide,580,10,6,50,63.62,110694.0,0.0005,false
carbide,580,10,6,100,63.62,110694.0,0.0009,false
carbide,580,10,6,200,63.62,110694.0,0.0018,false
carbide,580,10,6,500,63.62,110694.0,0.0045,false
carbide,580,10,10,50,490.87,854120.5,0.0001,false
carbide,580,10,10,100,490.87,854120.5,0.0001,false
carbide,580,10,10,200,490.87,854120.5,0.0002,false
carbide,580,10,10,500,490.87,854120.5,0.0006,false
carbide,580,10,16,50,3216.99,5597564.1,0.0000,false
carbide,580,10,16,100,3216.99,5597564.1,0.0000,false
carbide,580,10,16,200,3216.99,5597564.1,0.0000,false
carbide,580,10,16,500,3216.99,5597564.1,0.0001,false
carbide,580,20,3,50,3.98,864.8,0.0578,true
carbide,580,20,3,100,3.98,864.8,0.1156,true
carbide,580,20,3,200,3.98,864.8,0.2313,true
carbide,580,20,3,500,3.98,864.8,0.5782,true
carbide,580,20,6,50,63.62,13836.8,0.0036,false
carbide,580,20,6,100,63.62,13836.8,0.0072,false
carbide,580,20,6,200,63.62,13836.8,0.0145,true
carbide,580,20,6,500,63.62,13836.8,0.0361,true
carbide,580,20,10,50,490.87,106765.1,0.0005,false
carbide,580,20,10,100,490.87,106765.1,0.0009,false
carbide,580,20,10,200,490.87,106765.1,0.0019,false
carbide,580,20,10,500,490.87,106765.1,0.0047,false
carbide,580,20,16,50,3216.99,699695.5,0.0001,false
carbide,580,20,16,100,3216.99,699695.5,0.0001,false
carbide,580,20,16,200,3216.99,699695.5,0.0003,false
carbide,580,20,16,500,3216.99,699695.5,0.0007,false
carbide,580,30,3,50,3.98,256.2,0.1951,true
carbide,580,30,3,100,3.98,256.2,0.3903,true
carbide,580,30,3,200,3.98,256.2,0.7805,true
carbide,580,30,3,500,3.98,256.2,1.9513,true
carbide,580,30,6,50,63.62,4099.8,0.0122,true
carbide,580,30,6,100,63.62,4099.8,0.0244,true
carbide,580,30,6,200,63.62,4099.8,0.0488,true
carbide,580,30,6,500,63.62,4099.8,0.1220,true
carbide,580,30,10,50,490.87,31634.1,0.0016,false
carbide,580,30,10,100,490.87,31634.1,0.0032,false
carbide,580,30,10,200,490.87,31634.1,0.0063,false
