material,isoGroup,chipThickness_h_mm,chipWidth_b_mm,Fc_N,kc11,mc
steel,P,0.05,1,190.3,1800,0.25
steel,P,0.05,3,571.0,1800,0.25
steel,P,0.05,5,951.6,1800,0.25
steel,P,0.05,10,1903.3,1800,0.25
steel,P,0.1,1,320.1,1800,0.25
steel,P,0.1,3,960.3,1800,0.25
steel,P,0.1,5,1600.5,1800,0.25
steel,P,0.1,10,3200.9,1800,0.25
steel,P,0.15,1,433.9,1800,0.25
steel,P,0.15,3,1301.6,1800,0.25
steel,P,0.15,5,2169.3,1800,0.25
steel,P,0.15,10,4338.5,1800,0.25
steel,P,0.2,1,538.3,1800,0.25
steel,P,0.2,3,1615.0,1800,0.25
steel,P,0.2,5,2691.6,1800,0.25
steel,P,0.2,10,5383.3,1800,0.25
steel,P,0.3,1,729.6,1800,0.25
steel,P,0.3,3,2188.9,1800,0.25
steel,P,0.3,5,3648.2,1800,0.25
steel,P,0.3,10,7296.5,1800,0.25
steel,P,0.5,1,1070.3,1800,0.25
steel,P,0.5,3,3210.9,1800,0.25
steel,P,0.5,5,5351.4,1800,0.25
steel,P,0.5,10,10702.9,1800,0.25
tool_steel,P,0.05,1,232.6,2200,0.25
tool_steel,P,0.05,3,697.9,2200,0.25
tool_steel,P,0.05,5,1163.1,2200,0.25
tool_steel,P,0.05,10,2326.2,2200,0.25
tool_steel,P,0.1,1,391.2,2200,0.25
tool_steel,P,0.1,3,1173.7,2200,0.25
tool_steel,P,0.1,5,1956.1,2200,0.25
tool_steel,P,0.1,10,3912.2,2200,0.25
tool_steel,P,0.15,1,530.3,2200,0.25
tool_steel,P,0.15,3,1590.8,2200,0.25
tool_steel,P,0.15,5,2651.3,2200,0.25
tool_steel,P,0.15,10,5302.6,2200,0.25
tool_steel,P,0.2,1,658.0,2200,0.25
tool_steel,P,0.2,3,1973.9,2200,0.25
tool_steel,P,0.2,5,3289.8,2200,0.25
tool_steel,P,0.2,10,6579.5,2200,0.25
tool_steel,P,0.3,1,891.8,2200,0.25
tool_steel,P,0.3,3,2675.4,2200,0.25
tool_steel,P,0.3,5,4459.0,2200,0.25
tool_steel,P,0.3,10,8917.9,2200,0.25
tool_steel,P,0.5,1,1308.1,2200,0.25
tool_steel,P,0.5,3,3924.4,2200,0.25
tool_steel,P,0.5,5,6540.6,2200,0.25
tool_steel,P,0.5,10,13081.3,2200,0.25
hardened_steel,H,0.05,1,291.3,3200,0.2
hardened_steel,H,0.05,3,873.9,3200,0.2
hardened_steel,H,0.05,5,1456.5,3200,0.2
hardened_steel,H,0.05,10,2912.9,3200,0.2
hardened_steel,H,0.1,1,507.2,3200,0.2
hardened_steel,H,0.1,3,1521.5,3200,0.2
hardened_steel,H,0.1,5,2535.8,3200,0.2
hardened_steel,H,0.1,10,5071.7,3200,0.2
hardened_steel,H,0.15,1,701.5,3200,0.2
hardened_steel,H,0.15,3,2104.5,3200,0.2
hardened_steel,H,0.15,5,3507.5,3200,0.2
hardened_steel,H,0.15,10,7014.9,3200,0.2
hardened_steel,H,0.2,1,883.0,3200,0.2
hardened_steel,H,0.2,3,2649.1,3200,0.2
hardened_steel,H,0.2,5,4415.1,3200,0.2
hardened_steel,H,0.2,10,8830.3,3200,0.2
hardened_steel,H,0.3,1,1221.4,3200,0.2
hardened_steel,H,0.3,3,3664.1,3200,0.2
hardened_steel,H,0.3,5,6106.8,3200,0.2
hardened_steel,H,0.3,10,12213.7,3200,0.2
hardened_steel,H,0.5,1,1837.9,3200,0.2
hardened_steel,H,0.5,3,5513.8,3200,0.2
hardened_steel,H,0.5,5,9189.6,3200,0.2
hardened_steel,H,0.5,10,18379.2,3200,0.2
stainless,M,0.05,1,222.0,2100,0.25
stainless,M,0.05,3,666.1,2100,0.25
stainless,M,0.05,5,1110.2,2100,0.25
stainless,M,0.05,10,2220.5,2100,0.25
stainless,M,0.1,1,373.4,2100,0.25
stainless,M,0.1,3,1120.3,2100,0.25
stainless,M,0.1,5,1867.2,2100,0.25
stainless,M,0.1,10,3734.4,2100,0.25
stainless,M,0.15,1,506.2,2100,0.25
stainless,M,0.15,3,1518.5,2100,0.25
stainless,M,0.15,5,2530.8,2100,0.25
stainless,M,0.15,10,5061.6,2100,0.25
stainless,M,0.2,1,628.0,2100,0.25
stainless,M,0.2,3,1884.1,2100,0.25
stainless,M,0.2,5,3140.2,2100,0.25
stainless,M,0.2,10,6280.5,2100,0.25
stainless,M,0.3,1,851.3,2100,0.25
stainless,M,0.3,3,2553.8,2100,0.25
stainless,M,0.3,5,4256.3,2100,0.25
stainless,M,0.3,10,8512.6,2100,0.25
stainless,M,0.5,1,1248.7,2100,0.25
stainless,M,0.5,3,3746.0,2100,0.25
stainless,M,0.5,5,6243.3,2100,0.25
stainless,M,0.5,10,12486.7,2100,0.25
titanium,S,0.05,1,254.9,2800,0.2
titanium,S,0.05,3,764.6,2800,0.2
titanium,S,0.05,5,1274.4,2800,0.2
titanium,S,0.05,10,2548.8,2800,0.2
titanium,S,0.1,1,443.8,2800,0.2
titanium,S,0.1,3,1331.3,2800,0.2
titanium,S,0.1,5,2218.9,2800,0.2
titanium,S,0.1,10,4437.7,2800,0.2
titanium,S,0.15,1,613.8,2800,0.2
titanium,S,0.15,3,1841.4,2800,0.2
titanium,S,0.15,5,3069.0,2800,0.2
titanium,S,0.15,10,6138.1,2800,0.2
titanium,S,0.2,1,772.6,2800,0.2
titanium,S,0.2,3,2317.9,2800,0.2
titanium,S,0.2,5,3863.2,2800,0.2
titanium,S,0.2,10,7726.5,2800,0.2
titanium,S,0.3,1,1068.7,2800,0.2
titanium,S,0.3,3,3206.1,2800,0.2
titanium,S,0.3,5,5343.5,2800,0.2
titanium,S,0.3,10,10687.0,2800,0.2
titanium,S,0.5,1,1608.2,2800,0.2
titanium,S,0.5,3,4824.5,2800,0.2
titanium,S,0.5,5,8040.9,2800,0.2
titanium,S,0.5,10,16081.8,2800,0.2
inconel,S,0.05,1,254.9,2800,0.2
inconel,S,0.05,3,764.6,2800,0.2
inconel,S,0.05,5,1274.4,2800,0.2
inconel,S,0.05,10,2548.8,2800,0.2
inconel,S,0.1,1,443.8,2800,0.2
inconel,S,0.1,3,1331.3,2800,0.2
inconel,S,0.1,5,2218.9,2800,0.2
inconel,S,0.1,10,4437.7,2800,0.2
inconel,S,0.15,1,613.8,2800,0.2
inconel,S,0.15,3,1841.4,2800,0.2
inconel,S,0.15,5,3069.0,2800,0.2
inconel,S,0.15,10,6138.1,2800,0.2
inconel,S,0.2,1,772.6,2800,0.2
inconel,S,0.2,3,2317.9,2800,0.2
inconel,S,0.2,5,3863.2,2800,0.2
inconel,S,0.2,10,7726.5,2800,0.2
inconel,S,0.3,1,1068.7,2800,0.2
inconel,S,0.3,3,3206.1,2800,0.2
inconel,S,0.3,5,5343.5,2800,0.2
inconel,S,0.3,10,10687.0,2800,0.2
inconel,S,0.5,1,1608.2,2800,0.2
inconel,S,0.5,3,4824.5,2800,0.2
inconel,S,0.5,5,8040.9,2800,0.2
inconel,S,0.5,10,16081.8,2800,0.2
aluminum,N,0.05,1,74.0,700,0.25
aluminum,N,0.05,3,222.0,700,0.25
aluminum,N,0.05,5,370.1,700,0.25
aluminum,N,0.05,10,740.2,700,0.25
aluminum,N,0.1,1,124.5,700,0.25
aluminum,N,0.1,3,373.4,700,0.25
aluminum,N,0.1,5,622.4,700,0.25
aluminum,N,0.1,10,1244.8,700,0.25
aluminum,N,0.15,1,168.7,700,0.25
aluminum,N,0.15,3,506.2,700,0.25
aluminum,N,0.15,5,843.6,700,0.25
aluminum,N,0.15,10,1687.2,700,0.25
aluminum,N,0.2,1,209.3,700,0.25
aluminum,N,0.2,3,628.0,700,0.25
aluminum,N,0.2,5,1046.7,700,0.25
aluminum,N,0.2,10,2093.5,700,0.25
aluminum,N,0.3,1,283.8,700,0.25
aluminum,N,0.3,3,851.3,700,0.25
aluminum,N,0.3,5,1418.8,700,0.25
aluminum,N,0.3,10,2837.5,700,0.25
