material,toolFamily,cuttingSpeedMmin,chiploadMmTooth
aluminum,end_mill_flat,300,0.08
aluminum,end_mill_ball,280,0.05
aluminum,face_mill,400,0.1
aluminum,drill_twist,90,0.1
aluminum,tap_cut,20,1.5
aluminum,turning_insert_rough,350,0.25
aluminum,turning_insert_finish,400,0.1
steel,end_mill_flat,120,0.04
steel,end_mill_ball,100,0.03
steel,face_mill,200,0.15
steel,drill_twist,30,0.06
steel,tap_cut,6,1
steel,turning_insert_rough,180,0.3
steel,turning_insert_finish,220,0.1
stainless,end_mill_flat,60,0.03
stainless,end_mill_ball,55,0.025
stainless,face_mill,90,0.1
stainless,drill_twist,15,0.04
stainless,turning_insert_rough,100,0.25
stainless,turning_insert_finish,130,0.08
titanium,end_mill_flat,50,0.025
titanium,end_mill_ball,45,0.02
titanium,drill_twist,10,0.03
titanium,turning_insert_rough,80,0.2
titanium,turning_insert_finish,100,0.08
inconel,end_mill_flat,30,0.02
inconel,drill_twist,6,0.025
inconel,turning_insert_rough,40,0.15
inconel,turning_insert_finish,55,0.08
hardened_steel,end_mill_flat,60,0.015
hardened_steel,end_mill_ball,70,0.02
hardened_steel,drill_twist,12,0.02
tool_steel,end_mill_flat,80,0.025
tool_steel,drill_twist,20,0.04
copper,end_mill_flat,180,0.05
copper,drill_twist,60,0.08
brass,end_mill_flat,250,0.08
brass,drill_twist,80,0.1
plastic,end_mill_flat,200,0.1
plastic,drill_twist,100,0.1
composite,end_mill_flat,150,0.04
composite,drill_twist,60,0.06
