vendor,id,holder_type,taper,gauge_length_mm,body_diameter_mm,max_rpm,runout_um
generic,generic:ER16:BT40:0,ER16,BT40,70,42,25000,5
generic,generic:ER25:BT40:1,ER25,BT40,80,50,20000,5
generic,generic:ER32:BT40:2,ER32,BT40,90,55,18000,5
generic,generic:ER40:BT40:3,ER40,BT40,100,63,15000,8
generic,generic:ER16:CAT40:4,ER16,CAT40,75,42,25000,5
generic,generic:ER32:CAT40:5,ER32,CAT40,95,55,18000,5
generic,generic:ER16:HSK-A63:6,ER16,HSK-A63,60,42,30000,3
generic,generic:ER32:HSK-A63:7,ER32,HSK-A63,80,55,22000,3
generic,generic:Shrink_6:BT40:8,Shrink_6,BT40,75,28,40000,3
generic,generic:Shrink_10:BT40:9,Shrink_10,BT40,80,32,35000,3
generic,generic:Shrink_12:BT40:10,Shrink_12,BT40,85,35,30000,3
generic,generic:Shrink_16:BT40:11,Shrink_16,BT40,90,40,28000,3
generic,generic:Shrink_20:BT40:12,Shrink_20,BT40,100,45,25000,3
generic,generic:Hydraulic_12:BT40:13,Hydraulic_12,BT40,85,40,30000,3
generic,generic:Hydraulic_16:BT40:14,Hydraulic_16,BT40,95,48,25000,3
generic,generic:Hydraulic_20:BT40:15,Hydraulic_20,BT40,100,55,22000,3
generic,generic:Weldon_6:BT40:16,Weldon_6,BT40,80,35,20000,10
generic,generic:Weldon_10:BT40:17,Weldon_10,BT40,85,40,18000,10
generic,generic:Weldon_12:BT40:18,Weldon_12,BT40,90,42,16000,10
generic,generic:Weldon_16:BT40:19,Weldon_16,BT40,95,50,14000,10
generic,generic:Weldon_20:BT40:20,Weldon_20,BT40,100,55,12000,10
generic,generic:Weldon_25:BT40:21,Weldon_25,BT40,110,63,10000,12
generic,generic:Shell_22:BT40:22,Shell_22,BT40,50,38,15000,8
generic,generic:Shell_27:BT40:23,Shell_27,BT40,55,45,12000,8
generic,generic:Shell_32:BT40:24,Shell_32,BT40,60,50,10000,10
generic,generic:ER32:CAT50:25,ER32,CAT50,100,60,14000,5
generic,generic:Shell_32:CAT50:26,Shell_32,CAT50,65,55,8000,10
tungaloy,HSKE32ER16X60,ER,HSK-E32,40,28,,
