brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
BIG DAISHOWA,collet_chuck,BBT30-MEGA3S-45T,BBT30,0.45,3.25,,45,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA6S-60T,BBT30,0.45,6.05,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA8S-75T,BBT30,2.95,8.05,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA3S-60T,BBT40,0.45,3.25,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA6S-60T,BBT40,0.45,6.05,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA8S-90T,BBT40,2.95,8.05,,90,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A40-MEGA3S-75T,HSK-A40,0.45,3.25,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A40-MEGA6S-60T,HSK-A40,0.45,6.05,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A63-MEGA3S-75T,HSK-A63,0.45,3.25,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A63-MEGA6S-60T,HSK-A63,0.45,6.05,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A63-MEGA8S-90T,HSK-A63,2.95,8.05,,90,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C4-MEGA3S-60T,CAPTO-C4,0.45,3.25,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C4-MEGA6S-60T,CAPTO-C4,0.45,6.05,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C6-MEGA6S-120T,CAPTO-C6,0.45,6.05,,120,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA6N-60,BBT30,0.25,6,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA10N-60,BBT30,1.5,10,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA16N-60,BBT30,2.5,16,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA20N-60,BBT30,2.5,20,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA6N-60,BBT40,0.25,6,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA10N-60,BBT40,1.5,10,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA16N-60,BBT40,2.5,16,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA20N-60,BBT40,2.5,20,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA25N-75,BBT40,15.5,25.4,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT50-MEGA6N-90,BBT50,0.25,6,,90,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C4-MEGA6N-75,CAPTO-C4,0.25,6,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C5-MEGA6N-60,CAPTO-C5,0.25,6,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C6-MEGA10N-60,CAPTO-C6,1.5,10,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C8-MEGA13N-90,CAPTO-C8,2.5,13,,90,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA6E-60,BBT30,3,6,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGA13E-60,BBT30,3,12,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA6E-60,BBT40,3,6,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGA13E-60,BBT40,3,12,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A63-MEGA6E-75,HSK-A63,3,6,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A63-MEGA13E-75,HSK-A63,3,12,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C5-MEGA8E-55,CAPTO-C5,3,8,,55,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,C6-MEGA13E-65,CAPTO-C6,3,12,,65,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT30-MEGAER16-60,BBT30,1.9,10,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGAER16-60,BBT40,1.9,10,,60,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,BBT40-MEGAER32-75,BBT40,3,20,,75,,big-daishowa-holders
BIG DAISHOWA,collet_chuck,HSK-A63-MEGAER32-90,HSK-A63,3,20,,90,,big-daishowa-holders
