brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
BIG DAISHOWA,hydraulic,BBT30-HDC3S-60,BBT30,3,3,,60,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT30-HDC6S-60,BBT30,6,6,,60,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT30-HDC12S-90,BBT30,12,12,,90,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC6S-110,BBT40,6,6,,110,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC10S-110,BBT40,10,10,,110,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC12S-110,BBT40,12,12,,110,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT50-HDC6S-150,BBT50,6,6,,150,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT50-HDC12S-150,BBT50,12,12,,150,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A40-HDC6S-75,HSK-A40,6,6,,75,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A40-HDC12S-80,HSK-A40,12,12,,80,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A63-HDC6S-120,HSK-A63,6,6,,120,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A63-HDC12S-120,HSK-A63,12,12,,120,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A100-HDC6S-150,HSK-A100,6,6,,150,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A100-HDC12S-150,HSK-A100,12,12,,150,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC.250-2.5,BBT40,6.35,6.35,,63.5,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC.500-2.5,BBT40,12.7,12.7,,63.5,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC.750-3,BBT40,19.05,19.05,,76.2,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC1.000-3,BBT40,25.4,25.4,,76.2,,big-daishowa-holders
BIG DAISHOWA,hydraulic,BBT40-HDC1.250-3.5,BBT40,31.75,31.75,,88.9,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A63-HDC6J-90,HSK-A63,6,6,,90,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A63-HDC12J-90,HSK-A63,12,12,,90,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A63-HDC20J-120,HSK-A63,20,20,,120,,big-daishowa-holders
BIG DAISHOWA,hydraulic,HSK-A63-HDC32J-120,HSK-A63,32,32,,120,,big-daishowa-holders
