brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
GUHRING,hydraulic,GUH-4216-CAT40-6.35,CAT40,6.35,6.35,26,37,64,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT40-12.7,CAT40,12.7,12.7,32,46,64,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT40-19.05,CAT40,19.05,19.05,40,49,64,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT40-31.75,CAT40,31.75,31.75,63,61,81,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT50-6.35,CAT50,6.35,6.35,26,37,81,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT50-9.525,CAT50,9.525,9.525,30,41,81,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT50-12.7,CAT50,12.7,12.7,32,46,81,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT50-15.875,CAT50,15.875,15.875,38,49,81,guhring-holder-catalog
GUHRING,hydraulic,GUH-4216-CAT50-31.75,CAT50,31.75,31.75,63,61,81,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT40-6.35,CAT40,6.35,6.35,21,36,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT40-12.7,CAT40,12.7,12.7,24,46,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT40-19.05,CAT40,19.05,19.05,33,49,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT40-31.75,CAT40,31.75,31.75,44,61,100,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT50-6.35,CAT50,6.35,6.35,21,36,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT50-9.525,CAT50,9.525,9.525,24,41,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT50-12.7,CAT50,12.7,12.7,24,46,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT50-15.875,CAT50,15.875,15.875,27,49,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT50-19.05,CAT50,19.05,19.05,33,49,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT50-25.4,CAT50,25.4,25.4,44,57,100,guhring-holder-catalog
GUHRING,hydraulic,GUH-4764-CAT50-31.75,CAT50,31.75,31.75,44,61,100,guhring-holder-catalog
GUHRING,hydraulic,GUH-4765-CAT50-9.525,CAT50,9.525,9.525,24,41,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4765-CAT50-12.7,CAT50,12.7,12.7,24,46,80,guhring-holder-catalog
GUHRING,hydraulic,GUH-4765-CAT50-25.4,CAT50,25.4,25.4,44,57,100,guhring-holder-catalog
