brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
BIG DAISHOWA,milling_chuck,BBT40-MEGA16DPG-75,BBT40,16,16,,75,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT40-MEGA20DPG-100,BBT40,20,20,,100,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT50-MEGA25DPG-105,BBT50,25,25,,105,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT50-MEGA32DPG-105,BBT50,32,32,,105,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A63-MEGA16DPG-90,HSK-A63,16,16,,90,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A63-MEGA20DPG-100,HSK-A63,20,20,,100,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A100-MEGA25DPG-105,HSK-A100,25,25,,105,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A100-MEGA32DPG-115,HSK-A100,32,32,,115,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT30-HMC16S-70,BBT30,16,16,,70,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT30-HMC25S-90,BBT30,25,25,,90,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT40-HMC20S-75,BBT40,20,20,,75,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT40-HMC25S-75,BBT40,25,25,,75,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT40-HMC32S-90,BBT40,32,32,,90,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT50-HMC20S-105,BBT50,20,20,,105,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,BBT50-HMC32S-105,BBT50,32,32,,105,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A63-HMC20S-90,HSK-A63,20,20,,90,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A63-HMC25S-100,HSK-A63,25,25,,100,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A63-HMC32S-110,HSK-A63,32,32,,110,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A100-HMC20S-105,HSK-A100,20,20,,105,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A100-HMC32S-115,HSK-A100,32,32,,115,,big-daishowa-holders
BIG DAISHOWA,milling_chuck,HSK-A100-HMC42S-115,HSK-A100,42,42,,115,,big-daishowa-holders
