brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
BIG DAISHOWA,power_chuck,BBT30-MEGA12DS-58,BBT30,12,12,,58,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT30-MEGA20DS-65,BBT30,20,20,,65,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT40-MEGA16DS-75A,BBT40,16,16,,75,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT40-MEGA20DS-75A,BBT40,20,20,,75,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT40-MEGA25DS-75A,BBT40,25,25,,75,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT40-MEGA32DS-90A,BBT40,32,32,,90,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT50-MEGA20DS-105,BBT50,20,20,,105,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT50-MEGA32DS-105,BBT50,32,32,,105,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT50-MEGA42DS-105,BBT50,42,42,,105,,big-daishowa-holders
BIG DAISHOWA,power_chuck,BBT50-MEGA50DS-120,BBT50,50,50,,120,,big-daishowa-holders
BIG DAISHOWA,power_chuck,HSK-A63-MEGA16DS-75,HSK-A63,16,16,,75,,big-daishowa-holders
BIG DAISHOWA,power_chuck,HSK-A63-MEGA20DS-75,HSK-A63,20,20,,75,,big-daishowa-holders
BIG DAISHOWA,power_chuck,HSK-A100-MEGA20DS-105,HSK-A100,20,20,,105,,big-daishowa-holders
BIG DAISHOWA,power_chuck,HSK-A100-MEGA32DS-105,HSK-A100,32,32,,105,,big-daishowa-holders
BIG DAISHOWA,power_chuck,C5-MEGA16DS-65A,CAPTO-C5,16,16,,65,,big-daishowa-holders
BIG DAISHOWA,power_chuck,C6-MEGA20DS-75A,CAPTO-C6,20,20,,75,,big-daishowa-holders
