brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
BIG DAISHOWA,shrink_fit,BCV40-SFC.250-3.5,CAT40,6.35,6.35,,88.9,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BCV40-SFC.500-3.5,CAT40,12.7,12.7,,88.9,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BCV40-SFC.750-4,CAT40,19.05,19.05,,101.6,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BCV40-SFC1.000-4,CAT40,25.4,25.4,,101.6,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BCV50-SFC.500-4,CAT50,12.7,12.7,,101.6,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BCV50-SFC1.000-4,CAT50,25.4,25.4,,101.6,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BCV50-SFC1.250-4,CAT50,31.75,31.75,,101.6,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT30-SRC6-75,BBT30,6,6,,75,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT30-SRC10-75,BBT30,10,10,,75,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT30-SRC12-75,BBT30,12,12,,75,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SRC6-90,BBT40,6,6,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SRC10-90,BBT40,10,10,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SRC12-90,BBT40,12,12,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SRC16-90,BBT40,16,16,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SRC20-90,BBT40,20,20,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT30-SFC.250-3,BBT30,6.35,6.35,,76.2,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT30-SFC.500-3,BBT30,12.7,12.7,,76.2,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SFC.500-3.5,BBT40,12.7,12.7,,88.9,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SFC.750-4,BBT40,19.05,19.05,,101.6,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SFC1.000-4,BBT40,25.4,25.4,,101.6,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT30-SRC6S-105,BBT30,6,6,,105,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT30-SRC12S-105,BBT30,12,12,,105,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SRC6S-120,BBT40,6,6,,120,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,BBT40-SRC12S-120,BBT40,12,12,,120,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,HSK-A63-SRC6-90,HSK-A63,6,6,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,HSK-A63-SRC10-90,HSK-A63,10,10,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,HSK-A63-SRC12-90,HSK-A63,12,12,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,HSK-A63-SRC16-90,HSK-A63,16,16,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,HSK-A63-SRC20-90,HSK-A63,20,20,,90,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,HSK-A63-SRC6S-120,HSK-A63,6,6,,120,,big-daishowa-holders
BIG DAISHOWA,shrink_fit,HSK-A63-SRC12S-120,HSK-A63,12,12,,120,,big-daishowa-holders
