brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
HAIMER,shrink_fit,HAIMER-CAT40-shrink_fit-3.0,CAT40,3,3,10,,9,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-CAT40-shrink_fit-4.0,CAT40,4,4,10,,12,haimer-holder-catalog
HAIMER,shrink_fit,.12.4,CAT40,12,12,32,160,47,haimer-holder-catalog
HAIMER,shrink_fit,.14.4,CAT40,14,14,34,160,47,haimer-holder-catalog
HAIMER,shrink_fit,.16.4,CAT40,16,16,34,160,50,haimer-holder-catalog
HAIMER,shrink_fit,.20.4,CAT40,20,20,42,160,52,haimer-holder-catalog
HAIMER,shrink_fit,.25.4,CAT40,25,25,53,160,58,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-CAT40-shrink_fit-32.0,CAT40,32,32,53,,58,haimer-holder-catalog
HAIMER,shrink_fit,.06.47,CAT40,6,6,27,80,36,haimer-holder-catalog
HAIMER,shrink_fit,.16.47,CAT40,16,16,34,80,50,haimer-holder-catalog
HAIMER,shrink_fit,.20.47,CAT40,20,20,42,80,52,haimer-holder-catalog
HAIMER,shrink_fit,.25.47,CAT40,25,25,53,100,58,haimer-holder-catalog
HAIMER,shrink_fit,.32.47,CAT40,32,32,53,100,58,haimer-holder-catalog
HAIMER,shrink_fit,7 .3/8z.37,CAT40,9.52,9.52,44.45,160.02,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.1/2z.37,CAT40,12.7,12.7,44.45,160.02,46.99,haimer-holder-catalog
HAIMER,shrink_fit,.5/8z.37,CAT40,15.88,15.88,44.45,160.02,50.04,haimer-holder-catalog
HAIMER,shrink_fit,.3/4z.37,CAT40,19.05,19.05,44.45,160.02,52.07,haimer-holder-catalog
HAIMER,shrink_fit,.10.37,CAT40,10,10,44.45,160,42,haimer-holder-catalog
HAIMER,shrink_fit,.1/8z.8,CAT40,3.17,3.17,8.89,199.9,80.01,haimer-holder-catalog
HAIMER,shrink_fit,.3/16z.8,CAT40,4.76,4.76,10.92,199.9,80.01,haimer-holder-catalog
HAIMER,shrink_fit,.3/8z.8,CAT40,9.52,9.52,16,199.9,80.01,haimer-holder-catalog
HAIMER,shrink_fit,.1/2z.8,CAT40,12.7,12.7,18.03,199.9,80.01,haimer-holder-catalog
HAIMER,shrink_fit,––,CAT40,15.88,15.88,24.13,199.9,80.01,haimer-holder-catalog
HAIMER,shrink_fit,––,CAT40,3.17,3.17,8.89,100.08,50.04,haimer-holder-catalog
HAIMER,shrink_fit,––,CAT40,4.76,4.76,10.92,100.08,50.04,haimer-holder-catalog
HAIMER,shrink_fit,––,CAT40,6.35,6.35,11.94,100.08,50.04,haimer-holder-catalog
HAIMER,shrink_fit,––,CAT40,9.52,9.52,16,100.08,50.04,haimer-holder-catalog
HAIMER,shrink_fit,.0033,CAT40,12.7,12.7,20.57,80.01,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.03.8,CAT40,3,3,9,200,80,haimer-holder-catalog
HAIMER,shrink_fit,.04.8,CAT40,4,4,10,200,80,haimer-holder-catalog
HAIMER,shrink_fit,.05.8,CAT40,5,5,11,200,80,haimer-holder-catalog
HAIMER,shrink_fit,.06.8,CAT40,6,6,12,200,80,haimer-holder-catalog
HAIMER,shrink_fit,.08.8,CAT40,8,8,14,200,80,haimer-holder-catalog
HAIMER,shrink_fit,.10.8,CAT40,10,10,16,200,80,haimer-holder-catalog
HAIMER,shrink_fit,.12.8,CAT40,12,12,18,200,80,haimer-holder-catalog
HAIMER,shrink_fit,––,CAT40,16,16,24,200,80,haimer-holder-catalog
HAIMER,shrink_fit,.2.08,CAT40,4,4,10,100,50,haimer-holder-catalog
HAIMER,shrink_fit,.2.09,CAT40,6,6,12,100,50,haimer-holder-catalog
HAIMER,shrink_fit,.1/4Z.4,CAT50,6.35,6.35,26.92,160.02,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.5/16Z.4,CAT50,7.94,7.94,26.92,160.02,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.3/8Z.4,CAT50,9.52,9.52,32,160.02,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.5/8Z.4,CAT50,15.88,15.88,34.04,160.02,50.04,haimer-holder-catalog
HAIMER,shrink_fit,.3/4Z.4,CAT50,19.05,19.05,41.91,160.02,52.07,haimer-holder-catalog
HAIMER,shrink_fit,.7/8Z.4,CAT50,22.22,22.22,41.91,160.02,52.07,haimer-holder-catalog
HAIMER,shrink_fit,.1Z.4,CAT50,25.4,25.4,53.09,160.02,57.91,haimer-holder-catalog
HAIMER,shrink_fit,.06.4,CAT50,6,6,27,160,36,haimer-holder-catalog
HAIMER,shrink_fit,.08.4,CAT50,8,8,27,160,36,haimer-holder-catalog
HAIMER,shrink_fit,.10.4,CAT50,10,10,32,160,42,haimer-holder-catalog
HAIMER,shrink_fit,.16.4,CAT50,16,16,34,160,50,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-CAT50-shrink_fit-18.0,CAT50,18,18,42,,50,haimer-holder-catalog
HAIMER,shrink_fit,.20.4,CAT50,20,20,42,160,52,haimer-holder-catalog
HAIMER,shrink_fit,.25.4,CAT50,25,25,53,160,58,haimer-holder-catalog
HAIMER,shrink_fit,.32.4,CAT50,32,32,53,160,58,haimer-holder-catalog
HAIMER,shrink_fit,.3/8z.37,CAT50,9.52,9.52,69.85,199.9,41.91,haimer-holder-catalog
