brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
HAIMER,weldon,.06,SK40,6,6,25,,,haimer-holder-catalog
HAIMER,weldon,.08,SK40,8,8,28,,,haimer-holder-catalog
HAIMER,weldon,.10,SK40,10,10,35,,,haimer-holder-catalog
HAIMER,weldon,.12,SK40,12,12,42,,,haimer-holder-catalog
HAIMER,weldon,.14,SK40,14,14,42,,,haimer-holder-catalog
HAIMER,weldon,.16,SK40,16,16,48,,,haimer-holder-catalog
HAIMER,weldon,.18,SK40,18,18,48,,,haimer-holder-catalog
HAIMER,weldon,.20,SK40,20,20,52,,,haimer-holder-catalog
HAIMER,weldon,.25,SK40,25,25,65,,,haimer-holder-catalog
HAIMER,weldon,HAIMER-SK40-weldon-32.0,SK40,32,32,72,,,haimer-holder-catalog
HAIMER,weldon,22.KKB,SK40,22,22,48,,19,haimer-holder-catalog
HAIMER,weldon,.27.KKB,SK40,27,27,60,,21,haimer-holder-catalog
HAIMER,weldon,.06,SK50,6,6,25,,,haimer-holder-catalog
HAIMER,weldon,.08 .,SK50,8,8,28,,,haimer-holder-catalog
HAIMER,weldon,.14,SK50,14,14,42,,,haimer-holder-catalog
HAIMER,weldon,.16,SK50,16,16,48,,,haimer-holder-catalog
HAIMER,weldon,.18,SK50,18,18,48,,,haimer-holder-catalog
HAIMER,weldon,.20,SK50,20,20,52,,,haimer-holder-catalog
HAIMER,weldon,HAIMER-SK50-weldon-25.0,SK50,25,25,65,,,haimer-holder-catalog
HAIMER,weldon,HAIMER-SK50-weldon-32.0,SK50,32,32,72,,,haimer-holder-catalog
HAIMER,weldon,HAIMER-SK50-weldon-40.0,SK50,40,40,78,,,haimer-holder-catalog
HAIMER,weldon,.10.2,SK50,10,10,35,,,haimer-holder-catalog
HAIMER,weldon,.12.2 .,SK50,12,12,42,,,haimer-holder-catalog
HAIMER,weldon,.22.KKB,SK50,22,22,48,,19,haimer-holder-catalog
HAIMER,weldon,.27.KKB,SK50,27,27,60,,21,haimer-holder-catalog
HAIMER,weldon,HAIMER-SK50-weldon-50.0,SK50,50,50,120,,30,haimer-holder-catalog
HAIMER,weldon,.06,PSC,6,6,25,55,,haimer-holder-catalog
HAIMER,weldon,.08,PSC,8,8,28,55,,haimer-holder-catalog
HAIMER,weldon,.10,PSC,10,10,35,60,,haimer-holder-catalog
HAIMER,weldon,.12,PSC,12,12,42,60,,haimer-holder-catalog
HAIMER,weldon,.14,PSC,14,14,44,60,,haimer-holder-catalog
HAIMER,weldon,.16,PSC,16,16,48,65,,haimer-holder-catalog
HAIMER,weldon,.18,PSC,18,18,50,65,,haimer-holder-catalog
HAIMER,weldon,.20,PSC,20,20,52,65,,haimer-holder-catalog
HAIMER,weldon,.25,PSC,25,25,64,80,,haimer-holder-catalog
HAIMER,weldon,.32,PSC,32,32,72,90,,haimer-holder-catalog
HAIMER,weldon,.40,PSC,40,40,80,100,,haimer-holder-catalog
HAIMER,weldon,.16.KKB,PSC,16,16,36,40,17,haimer-holder-catalog
HAIMER,weldon,.22.KKB,PSC,22,22,48,25,19,haimer-holder-catalog
HAIMER,weldon,.27.KKB,PSC,27,27,60,25,21,haimer-holder-catalog
HAIMER,weldon,.32.KKB,PSC,32,32,63,25,24,haimer-holder-catalog
HAIMER,weldon,.40.KKB,PSC,40,40,70,40,27,haimer-holder-catalog
