brand,id,category,type,dc_mm,shank_mm,ratio,classification
"MA Ford","MA -4.0000-4F","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"MA Ford","MA -5.0000-4F","solid_mill","end_mill",127,127,1,bad-diameter
"MA Ford","MA -3.5000-4F","solid_mill","end_mill",88.9,88.9,1,bad-diameter
"MA Ford","MA -4.5000-4F","solid_mill","end_mill",114.3,114.3,1,bad-diameter
"MA Ford","MA -6.0000-3F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","MA -6.0000-4F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","19877","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","19882","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72010020M","solid_mill","end_mill",101.6,76.2,1.3,bad-diameter
"MA Ford","41156220M","solid_mill","end_mill",101.6,152.4,0.7,bad-diameter
"MA Ford","72030020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","41187520M","solid_mill","end_mill",121.92,152.4,0.8,bad-diameter
"MA Ford","41250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","41156220EM","solid_mill","end_mill",101.6,152.4,0.7,bad-diameter
"MA Ford","41187520EM","solid_mill","end_mill",121.92,152.4,0.8,bad-diameter
"MA Ford","41250020EM","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72020020M","solid_mill","end_mill",101.6,76.2,1.3,bad-diameter
"MA Ford","42156220M","solid_mill","end_mill",101.6,152.4,0.7,bad-diameter
"MA Ford","72040020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","42187520M","solid_mill","end_mill",121.92,152.4,0.8,bad-diameter
"MA Ford","42250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","42250020L6M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","43187520M","solid_mill","end_mill",121.92,152.4,0.8,bad-diameter
"MA Ford","72050020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","43250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","M 43250020L6M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72060020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","44250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","44250020L6M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72080020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","45250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","45250020L6M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72090020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","46250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","46250020L6M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72070020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","49250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","29702500M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72120020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","48250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72100020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","47250020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","47250120M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","47250220M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"MA Ford","72110020M","solid_mill","end_mill",121.92,76.2,1.6,bad-diameter
"MA Ford","50025020M","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-4.0000-4F","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"Generic","UNK-5.0000-4F","solid_mill","end_mill",127,127,1,bad-diameter
"Generic","UNK-6.0000-4F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-3.5000-4F","solid_mill","end_mill",88.9,88.9,1,bad-diameter
"Generic","UNK-4.5000-4F","solid_mill","end_mill",114.3,114.3,1,bad-diameter
"Generic","UNK-5.5000-4F","solid_mill","end_mill",139.7,139.7,1,bad-diameter
"Generic","UNK-6.0000-5F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-3.8200-4F","solid_mill","ball_mill",97.03,97.03,1,bad-diameter
"Generic","UNK-4.8900-4F","solid_mill","ball_mill",124.21,124.21,1,bad-diameter
"Generic","UNK-6.0000-6F","solid_mill","ball_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-6.0000-2F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-6.0000-8F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-6.0000-9F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-6.0000-3F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-6.0000-11F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-5.0000-10F","solid_mill","end_mill",127,127,1,bad-diameter
"Generic","UNK-6.0000-10F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"Generic","UNK-4.0000-1F","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"Generic","UNK-5.0000-1F","solid_mill","end_mill",127,127,1,bad-diameter
"Generic","UNK-6.0000-1F","solid_mill","end_mill",152.4,152.4,1,bad-diameter
"YG-1","YG1-309.0","solid_mill","ball_mill",309,309,1,bad-diameter
"YG-1","YG1-108.0","solid_mill","ball_mill",108,108,1,bad-diameter
"YG-1","YG1-110.0","solid_mill","ball_mill",110,110,1,bad-diameter
"YG-1","YG1-4.2","solid_mill","ball_mill",106.68,106.68,1,bad-diameter
"YG-1","HPI90040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","HPI90901","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEMD98035","solid_mill","end_mill",88.9,6,14.8,bad-diameter
"YG-1","SEMD98040050","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEMD980404S","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","SEMD98040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEMD980401004S","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","SEMD980401204S","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","SEMD98040100","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEMD98040120","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEMD98045","solid_mill","end_mill",114.3,6,19.1,bad-diameter
"YG-1","SEME640400110","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400112","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400114","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400116","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400120","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400126","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400130","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400135","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400140","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400145","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400150","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400210","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400212","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400214","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400216","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400220","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400226","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400230","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400235","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400240","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400245","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400250","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400310","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400312","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400314","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400316","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400320","solid_mill","end_mill",101.6,6,16.9,bad-diameter
