machine_id,machine_name,machine_taper,machine_max_rpm,machine_max_power_kw,tool_id,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,rpm_clamped,fz_in,feed_ipm,ap_in,ae_in,coolant,css,source_crib
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Gray Iron (K),K,Drill,drilling,roughing,conventional,0.4375,2,246,2148,0,0.0033,14.21,0,0.4374,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Gray Iron (K),K,Peck,drilling,roughing,plunge,0.4375,2,172,1504,0,0.0017,4.97,0,0.4374,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Ductile Iron (K),K,Drill,drilling,roughing,conventional,0.4375,2,193,1688,0,0.0033,11.16,0,0.4374,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Ductile Iron (K),K,Peck,drilling,roughing,plunge,0.4375,2,135,1182,0,0.0017,3.91,0,0.4374,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Gray Iron (K),K,Drill,drilling,roughing,conventional,0.4688,2,246,2005,0,0.0035,14.13,0,0.4689,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Gray Iron (K),K,Peck,drilling,roughing,plunge,0.4688,2,172,1403,0,0.0018,4.94,0,0.4689,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Ductile Iron (K),K,Drill,drilling,roughing,conventional,0.4688,2,193,1575,0,0.0035,11.1,0,0.4689,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Ductile Iron (K),K,Peck,drilling,roughing,plunge,0.4688,2,135,1103,0,0.0018,3.89,0,0.4689,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Gray Iron (K),K,Drill,drilling,roughing,conventional,0.48,2,246,1958,0,0.0036,13.95,0,0.4799,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Gray Iron (K),K,Peck,drilling,roughing,plunge,0.48,2,172,1371,0,0.0018,4.88,0,0.4799,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
LTH-07,Okuma Multus B250II,,5000,22,Default Preset,drill,Ductile Iron (K),K,Drill,drilling,roughing,conventional,0.48,2,193,1539,0,0.0036,10.97,0,0.4799,flood,0,130 DEG. INSERT DRILLS - PURPLE COATING (CHANGE SFM TO 75 FOR GOLD).csv
