machine_id,machine_name,machine_taper,machine_max_rpm,machine_max_power_kw,tool_id,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,rpm_clamped,fz_in,feed_ipm,ap_in,ae_in,coolant,css,source_crib
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Rough,milling,roughing,conventional,0.5,6,249,1905,0,0.0024,27.9,0.0591,0.1,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HEM Adaptive,milling,roughing,adaptive,0.5,6,349,2667,0,0.0029,46.87,0.1181,0.05,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Trochoidal,milling,roughing,trochoidal,0.5,6,374,2857,0,0.0032,54.4,0.1476,0.04,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Slot,milling,roughing,slot,0.5,6,199,1524,0,0.0022,20.09,0.0413,0.5,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Ramp,milling,roughing,plunge,0.5,6,175,1333,0,0.0012,9.76,0.0591,0.1,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Semi,milling,semi_finishing,conventional,0.5,6,295,2256,0,0.002,27.18,0.0315,0.15,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Finish,milling,finishing,conventional,0.5,6,351,2682,0,0.0016,25.98,0.0079,0.2,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HSM,milling,finishing,hsm,0.5,6,456,3486,0,0.0016,33.76,0.0039,0.25,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Rough,milling,roughing,conventional,0.5,6,249,1905,0,0.0024,27.9,0.0591,0.1,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HEM Adaptive,milling,roughing,adaptive,0.5,6,349,2667,0,0.0029,46.87,0.1181,0.05,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Trochoidal,milling,roughing,trochoidal,0.5,6,374,2857,0,0.0032,54.4,0.1476,0.04,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Slot,milling,roughing,slot,0.5,6,199,1524,0,0.0022,20.09,0.0413,0.5,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Ramp,milling,roughing,plunge,0.5,6,175,1333,0,0.0012,9.76,0.0591,0.1,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Semi,milling,semi_finishing,conventional,0.5,6,295,2256,0,0.002,27.18,0.0315,0.15,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Finish,milling,finishing,conventional,0.5,6,351,2682,0,0.0016,25.98,0.0079,0.2,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HSM,milling,finishing,hsm,0.5,6,456,3486,0,0.0016,33.76,0.0039,0.25,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Rough,milling,roughing,conventional,0.25,6,249,3810,0,0.0015,33.3,0.0591,0.05,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HEM Adaptive,milling,roughing,adaptive,0.25,6,349,5334,0,0.0017,55.94,0.1181,0.025,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Trochoidal,milling,roughing,trochoidal,0.25,6,374,5715,0,0.0019,64.93,0.1476,0.02,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Slot,milling,roughing,slot,0.25,6,199,3048,0,0.0013,23.98,0.0413,0.25,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Ramp,milling,roughing,plunge,0.25,6,175,2667,0,0.0007,11.66,0.0591,0.05,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Semi,milling,semi_finishing,conventional,0.25,6,295,4511,0,0.0012,33.03,0.0315,0.0748,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Finish,milling,finishing,conventional,0.25,6,351,5364,0,0.001,31.68,0.0079,0.1,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HSM,milling,finishing,hsm,0.25,6,456,6973,0,0.001,41.18,0.0039,0.125,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Rough,milling,roughing,conventional,0.25,6,249,3810,0,0.0015,33.3,0.0591,0.05,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HEM Adaptive,milling,roughing,adaptive,0.25,6,349,5334,0,0.0017,55.94,0.1181,0.025,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Trochoidal,milling,roughing,trochoidal,0.25,6,374,5715,0,0.0019,64.93,0.1476,0.02,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Slot,milling,roughing,slot,0.25,6,199,3048,0,0.0013,23.98,0.0413,0.25,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Ramp,milling,roughing,plunge,0.25,6,175,2667,0,0.0007,11.66,0.0591,0.05,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Semi,milling,semi_finishing,conventional,0.25,6,295,4511,0,0.0012,33.03,0.0315,0.0748,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Finish,milling,finishing,conventional,0.25,6,351,5364,0,0.001,31.68,0.0079,0.1,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HSM,milling,finishing,hsm,0.25,6,456,6973,0,0.001,41.18,0.0039,0.125,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,Rough,milling,roughing,conventional,0.375,6,249,2540,0,0.0019,29.4,0.0591,0.0748,air,0,END MILLS FOR MACHINE 4.csv
VMC-02,Okuma GENOS M460V-5AX,CAT40 Big-Plus,15000,22,Default Preset,bull nose end mill,Hardened Tool Steel (H),H,HEM Adaptive,milling,roughing,adaptive,0.375,6,349,3556,0,0.0023,49.39,0.1181,0.0375,air,0,END MILLS FOR MACHINE 4.csv
