machine_id,machine_name,machine_taper,machine_max_rpm,machine_max_power_kw,tool_id,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,rpm_clamped,fz_in,feed_ipm,ap_in,ae_in,coolant,css,source_crib
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,Rough,milling,roughing,conventional,0.5,6,328,2506,0,0.0041,60.97,0.1969,0.1748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,HEM Adaptive,milling,roughing,adaptive,0.5,6,459,3509,0,0.0049,102.45,0.3937,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,Trochoidal,milling,roughing,trochoidal,0.5,6,492,3760,0,0.0053,118.93,0.4921,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,Slot,milling,roughing,slot,0.5,6,262,2005,0,0.0036,43.9,0.1378,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,Ramp,milling,roughing,plunge,0.5,6,230,1754,0,0.002,21.34,0.1969,0.1748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,Semi,milling,semi_finishing,conventional,0.5,6,361,2757,0,0.0032,53.4,0.0787,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,Finish,milling,finishing,conventional,0.5,6,394,3008,0,0.0028,51.16,0.0197,0.3748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,304/316 SS (M),M,HSM,milling,finishing,hsm,0.5,6,512,3910,0,0.0028,66.5,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,17-4 PH (M),M,Rough,milling,roughing,conventional,0.5,6,246,1880,0,0.0041,45.74,0.1969,0.1748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,17-4 PH (M),M,HEM Adaptive,milling,roughing,adaptive,0.5,6,344,2632,0,0.0049,76.85,0.3937,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,bull nose end mill,17-4 PH (M),M,Trochoidal,milling,roughing,trochoidal,0.5,6,369,2820,0,0.0053,89.2,0.4921,0.04,flood,0,END MILLS FOR MACHINE 4.csv
