machine_id,machine_name,machine_taper,machine_max_rpm,machine_max_power_kw,tool_id,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,rpm_clamped,fz_in,feed_ipm,ap_in,ae_in,coolant,css,source_crib
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.0781,2,166,8100,1,0.0012,19.13,0,0.078,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.0781,2,166,8100,1,0.0006,9.57,0,0.078,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.0781,2,165,8100,1,0.0012,19.13,0,0.078,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.0781,2,165,8100,1,0.0006,9.57,0,0.078,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.0781,2,121,5935,0,0.0012,14.02,0,0.078,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.0781,2,85,4155,0,0.0006,4.91,0,0.078,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.0937,2,199,8100,1,0.0013,21.69,0,0.0937,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.0937,2,170,6924,0,0.0007,9.27,0,0.0937,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.0937,2,198,8100,1,0.0013,21.69,0,0.0937,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.0937,2,198,8100,1,0.0007,10.84,0,0.0937,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.0937,2,121,4946,0,0.0013,13.24,0,0.0937,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.0937,2,85,3462,0,0.0007,4.63,0,0.0937,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.104,2,221,8100,1,0.0014,23.28,0,0.1039,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.104,2,170,6242,0,0.0007,8.97,0,0.1039,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.104,2,220,8100,1,0.0014,23.28,0,0.1039,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.104,2,212,7802,0,0.0007,11.21,0,0.1039,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.104,2,121,4458,0,0.0014,12.81,0,0.1039,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.104,2,85,3121,0,0.0007,4.48,0,0.1039,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.11,2,233,8100,1,0.0015,24.24,0,0.1098,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.11,2,170,5901,0,0.0007,8.83,0,0.1098,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.11,2,233,8100,1,0.0015,24.24,0,0.1098,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.11,2,212,7377,0,0.0007,11.04,0,0.1098,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.11,2,121,4215,0,0.0015,12.61,0,0.1098,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.11,2,85,2951,0,0.0007,4.41,0,0.1098,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.12,2,243,7728,0,0.0016,24.64,0,0.1201,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.12,2,170,5410,0,0.0008,8.63,0,0.1201,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.12,2,254,8100,1,0.0016,25.83,0,0.1201,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.12,2,212,6762,0,0.0008,10.78,0,0.1201,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.12,2,121,3864,0,0.0016,12.32,0,0.1201,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.12,2,85,2705,0,0.0008,4.31,0,0.1201,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.135,3,243,6869,0,0.0012,24.07,0,0.135,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.135,3,170,4809,0,0.0006,8.43,0,0.135,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.135,3,286,8100,1,0.0012,28.38,0,0.135,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.135,3,212,6011,0,0.0006,10.53,0,0.135,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.135,3,121,3435,0,0.0012,12.04,0,0.135,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.135,3,85,2404,0,0.0006,4.21,0,0.135,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.1405,3,243,6600,0,0.0012,23.65,0,0.1406,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.1405,3,170,4620,0,0.0006,8.28,0,0.1406,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.1405,3,297,8100,1,0.0012,29.02,0,0.1406,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.1405,3,212,5775,0,0.0006,10.34,0,0.1406,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.1405,3,121,3300,0,0.0012,11.82,0,0.1406,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.1405,3,85,2310,0,0.0006,4.14,0,0.1406,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.144,3,243,6440,0,0.0012,23.58,0,0.1441,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.144,3,170,4508,0,0.0006,8.25,0,0.1441,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.144,3,303,8050,0,0.0012,29.47,0,0.1441,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Peck,drilling,roughing,plunge,0.144,3,212,5635,0,0.0006,10.32,0,0.1441,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Drill,drilling,roughing,conventional,0.144,3,121,3220,0,0.0012,11.79,0,0.1441,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Copper (N),N,Peck,drilling,roughing,plunge,0.144,3,85,2254,0,0.0006,4.13,0,0.1441,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Drill,drilling,roughing,conventional,0.1495,3,243,6203,0,0.0013,23.44,0,0.1496,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,6061/7075 Alum (N),N,Peck,drilling,roughing,plunge,0.1495,3,170,4342,0,0.0006,8.21,0,0.1496,flood,0,TWIST DRILLS.csv
VMC-03,Haas VF-2,CAT40,8100,22.4,Default Preset,drill,Brass (N),N,Drill,drilling,roughing,conventional,0.1495,3,303,7754,0,0.0013,29.31,0,0.1496,flood,0,TWIST DRILLS.csv
