machine_id,machine_name,machine_taper,machine_max_rpm,machine_max_power_kw,tool_id,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,rpm_clamped,fz_in,feed_ipm,ap_in,ae_in,coolant,css,source_crib
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Rough,milling,roughing,conventional,0.5,6,151,1153,0,0.0041,28.05,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,HEM Adaptive,milling,roughing,adaptive,0.5,6,211,1614,0,0.0049,47.12,0.2362,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Trochoidal,milling,roughing,trochoidal,0.5,6,226,1729,0,0.0053,54.69,0.2953,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Slot,milling,roughing,slot,0.5,6,121,922,0,0.0036,20.19,0.0827,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Ramp,milling,roughing,plunge,0.5,6,106,807,0,0.002,9.82,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Semi,milling,semi_finishing,conventional,0.5,6,180,1379,0,0.0032,26.71,0.0591,0.1748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Finish,milling,finishing,conventional,0.5,6,200,1529,0,0.0024,22.39,0.0197,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,HSM,milling,finishing,hsm,0.5,6,260,1988,0,0.0024,29.12,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Rough,milling,roughing,conventional,0.5,6,75,576,0,0.0041,14.01,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,HEM Adaptive,milling,roughing,adaptive,0.5,6,106,807,0,0.0049,23.56,0.2362,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Trochoidal,milling,roughing,trochoidal,0.5,6,113,865,0,0.0053,27.36,0.2953,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Slot,milling,roughing,slot,0.5,6,60,461,0,0.0036,10.09,0.0827,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Ramp,milling,roughing,plunge,0.5,6,53,404,0,0.002,4.91,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Semi,milling,semi_finishing,conventional,0.5,6,90,689,0,0.0032,13.35,0.0591,0.1748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Finish,milling,finishing,conventional,0.5,6,100,764,0,0.0024,11.19,0.0197,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,HSM,milling,finishing,hsm,0.5,6,130,994,0,0.0024,14.56,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Rough,milling,roughing,conventional,0.5,6,151,1153,0,0.0041,28.05,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,HEM Adaptive,milling,roughing,adaptive,0.5,6,211,1614,0,0.0049,47.12,0.2362,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Trochoidal,milling,roughing,trochoidal,0.5,6,226,1729,0,0.0053,54.69,0.2953,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Slot,milling,roughing,slot,0.5,6,121,922,0,0.0036,20.19,0.0827,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Ramp,milling,roughing,plunge,0.5,6,106,807,0,0.002,9.82,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Semi,milling,semi_finishing,conventional,0.5,6,180,1379,0,0.0032,26.71,0.0591,0.1748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Finish,milling,finishing,conventional,0.5,6,200,1529,0,0.0024,22.39,0.0197,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,HSM,milling,finishing,hsm,0.5,6,260,1988,0,0.0024,29.12,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Rough,milling,roughing,conventional,0.5,6,75,576,0,0.0041,14.01,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,HEM Adaptive,milling,roughing,adaptive,0.5,6,106,807,0,0.0049,23.56,0.2362,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Trochoidal,milling,roughing,trochoidal,0.5,6,113,865,0,0.0053,27.36,0.2953,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Slot,milling,roughing,slot,0.5,6,60,461,0,0.0036,10.09,0.0827,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Ramp,milling,roughing,plunge,0.5,6,53,404,0,0.002,4.91,0.1181,0.1252,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Semi,milling,semi_finishing,conventional,0.5,6,90,689,0,0.0032,13.35,0.0591,0.1748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,Finish,milling,finishing,conventional,0.5,6,100,764,0,0.0024,11.19,0.0197,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Inconel/Nickel (S),S,HSM,milling,finishing,hsm,0.5,6,130,994,0,0.0024,14.56,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Rough,milling,roughing,conventional,0.25,6,151,2306,0,0.0024,33.77,0.1181,0.0626,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,HEM Adaptive,milling,roughing,adaptive,0.25,6,211,3228,0,0.0029,56.73,0.2362,0.025,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Trochoidal,milling,roughing,trochoidal,0.25,6,226,3459,0,0.0032,65.86,0.2953,0.02,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Slot,milling,roughing,slot,0.25,6,121,1845,0,0.0022,24.32,0.0827,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Ramp,milling,roughing,plunge,0.25,6,106,1614,0,0.0012,11.82,0.1181,0.0626,flood,0,END MILLS FOR MACHINE 4.csv
VMC-04,Haas OM-2,ISO20,30000,3.73,Default Preset,bull nose end mill,Ti-6Al-4V (S),S,Semi,milling,semi_finishing,conventional,0.25,6,180,2757,0,0.0019,31.91,0.0591,0.0874,flood,0,END MILLS FOR MACHINE 4.csv
