machine_id,machine_name,machine_taper,machine_max_rpm,machine_max_power_kw,tool_id,tool_type,grade_name,iso,toolpath,op,cut,strategy,dia_in,flutes,vc_sfm,rpm,rpm_clamped,fz_in,feed_ipm,ap_in,ae_in,coolant,css,source_crib
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Rough,milling,roughing,conventional,0.5,6,459,3509,0,0.0052,110.24,0.315,0.2,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,HEM Adaptive,milling,roughing,adaptive,0.5,6,643,4912,0,0.0063,185.19,0.6299,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Trochoidal,milling,roughing,trochoidal,0.5,6,689,5263,0,0.0068,214.95,0.7874,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Slot,milling,roughing,slot,0.5,6,367,2807,0,0.0047,79.37,0.2205,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Ramp,milling,roughing,plunge,0.5,6,322,2456,0,0.0026,38.58,0.315,0.2,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Semi,milling,semi_finishing,conventional,0.5,6,509,3885,0,0.0041,94.52,0.1181,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Finish,milling,finishing,conventional,0.5,6,558,4261,0,0.0032,82.54,0.0197,0.3748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,HSM,milling,finishing,hsm,0.5,6,725,5539,0,0.0032,107.29,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,Rough,milling,roughing,conventional,0.5,6,389,2969,0,0.0052,93.28,0.315,0.2,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,HEM Adaptive,milling,roughing,adaptive,0.5,6,544,4157,0,0.0063,156.72,0.6299,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,Trochoidal,milling,roughing,trochoidal,0.5,6,583,4454,0,0.0068,181.91,0.7874,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,Slot,milling,roughing,slot,0.5,6,311,2375,0,0.0047,67.15,0.2205,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,Ramp,milling,roughing,plunge,0.5,6,272,2078,0,0.0026,32.64,0.315,0.2,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,Semi,milling,semi_finishing,conventional,0.5,6,430,3287,0,0.0041,79.98,0.1181,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,Finish,milling,finishing,conventional,0.5,6,472,3605,0,0.0032,69.83,0.0197,0.3748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1045 Steel (P),P,HSM,milling,finishing,hsm,0.5,6,614,4687,0,0.0032,90.79,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,Rough,milling,roughing,conventional,0.5,6,353,2699,0,0.0052,84.8,0.315,0.2,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,HEM Adaptive,milling,roughing,adaptive,0.5,6,495,3779,0,0.0063,142.47,0.6299,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,Trochoidal,milling,roughing,trochoidal,0.5,6,530,4049,0,0.0068,165.37,0.7874,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,Slot,milling,roughing,slot,0.5,6,283,2159,0,0.0047,61.05,0.2205,0.5,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,Ramp,milling,roughing,plunge,0.5,6,247,1889,0,0.0026,29.67,0.315,0.2,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,Semi,milling,semi_finishing,conventional,0.5,6,391,2988,0,0.0041,72.7,0.1181,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,Finish,milling,finishing,conventional,0.5,6,429,3278,0,0.0032,63.5,0.0197,0.3748,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,4140/4340 Alloy (P),P,HSM,milling,finishing,hsm,0.5,6,558,4261,0,0.0032,82.54,0.0098,0.25,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Rough,milling,roughing,conventional,0.5,6,459,3509,0,0.0052,110.24,0.315,0.2,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,HEM Adaptive,milling,roughing,adaptive,0.5,6,643,4912,0,0.0063,185.19,0.6299,0.05,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Trochoidal,milling,roughing,trochoidal,0.5,6,689,5263,0,0.0068,214.95,0.7874,0.04,flood,0,END MILLS FOR MACHINE 4.csv
VMC-05,Roku-Roku HC 658-II,HSK-E40,32000,6.26,Default Preset,bull nose end mill,1018 Steel (P),P,Slot,milling,roughing,slot,0.5,6,367,2807,0,0.0047,79.37,0.2205,0.5,flood,0,END MILLS FOR MACHINE 4.csv
