"index","hwnd","class","text","visible"
"1","9045484","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","True"
"2","3082292","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"3","2623652","WindowsForms10.SysTabControl32.app.0.1a0e24_r7_ad1","","True"
"4","917690","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","Speeds and Feeds","True"
"5","2754480","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"6","7013880","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"7","1573624","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"8","2492550","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","False"
"9","2426818","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","CAM Integration","False"
"10","1181776","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"11","3409662","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","False"
"12","2557578","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"13","854340","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","OK","False"
"14","2359468","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Cancel","False"
"15","723248","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"16","3475092","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Auto Save Tools","False"
"17","1247258","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Settings:","False"
"18","3147898","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"19","1902104","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"20","1902680","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","True"
"21","2164730","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Workpiece Machine","True"
"22","3606582","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"23","2296026","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"24","2296134","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Edit","True"
"25","1181662","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","True"
"26","2164642","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","More","True"
"27","2164662","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Machine","True"
"28","5507222","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","True"
"29","787938","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"30","1640322","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"31","3737346","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Hardness:","True"
"32","1442474","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","230","True"
"33","2753314","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Brinell","True"
"34","2164594","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Max RPM","True"
"35","2230184","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"36","3409878","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Max Power","True"
"37","2492574","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"38","1967658","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","HP","True"
"39","1509286","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Max Torque","True"
"40","2099292","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"41","1509518","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","ft-lb","True"
"42","2688970","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Max Feed","True"
"43","2033890","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"44","657492","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in/min","True"
"45","1376544","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Current Machine Limits","True"
"46","3475162","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"47","2754626","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"48","2754318","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"49","2230486","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","True"
"50","2098802","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Data","True"
"51","3408116","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"52","2885402","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"53","1378562","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"54","1247438","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"55","1771536","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Pitch","False"
"56","1705960","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"57","2361162","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Thread Form","False"
"58","2885940","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Size","False"
